"","Value","Groups","Rank","Taxa"
"363",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"364",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"365",0,"FanVent",7,"g__Sarocladium padj = 5.998e-10"
"366",0,"FanVent",7,"g__Sarocladium padj = 5.998e-10"
"367",0,"FanVent",7,"g__Sarocladium padj = 5.998e-10"
"368",0,"Door",7,"g__Sarocladium padj = 5.998e-10"
"369",13,"Door",7,"g__Sarocladium padj = 5.998e-10"
"370",180,"Door",7,"g__Sarocladium padj = 5.998e-10"
"371",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"372",99,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"373",0,"WallCeiling",7,"g__Sarocladium padj = 5.998e-10"
"374",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"375",0,"FanVent",7,"g__Sarocladium padj = 5.998e-10"
"376",0,"FanVent",7,"g__Sarocladium padj = 5.998e-10"
"377",335,"FanVent",7,"g__Sarocladium padj = 5.998e-10"
"378",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"379",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"380",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"381",0,"FanVent",7,"g__Sarocladium padj = 5.998e-10"
"382",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"383",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"384",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"385",15,"WallCeiling",7,"g__Sarocladium padj = 5.998e-10"
"386",0,"WallCeiling",7,"g__Sarocladium padj = 5.998e-10"
"387",0,"WallCeiling",7,"g__Sarocladium padj = 5.998e-10"
"388",0,"Door",7,"g__Sarocladium padj = 5.998e-10"
"389",0,"Door",7,"g__Sarocladium padj = 5.998e-10"
"390",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"391",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"392",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"393",456,"Door",7,"g__Sarocladium padj = 5.998e-10"
"394",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"395",0,"Door",7,"g__Sarocladium padj = 5.998e-10"
"396",0,"WallCeiling",7,"g__Sarocladium padj = 5.998e-10"
"397",0,"WallCeiling",7,"g__Sarocladium padj = 5.998e-10"
"398",0,"Floor",7,"g__Sarocladium padj = 5.998e-10"
"399",80,"Door",7,"g__Sarocladium padj = 5.998e-10"
"400",0,"Door",7,"g__Sarocladium padj = 5.998e-10"
"401",0,"Door",7,"g__Sarocladium padj = 5.998e-10"
