"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"dc1f1f82f2d552dda5a95b929f6d35c7","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Tremellales_gen_Incertae_sedis","s__Tremellales_sp"
"fe537d99b25dffa44956fff680936976","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__","f__","g__","s__"
"4501553a00729ae5094cf68a29207809","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__","g__","s__"
"56dcfc3c0079928da60cb739f6b529a7","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Microascus","s__"
"b6c210d127cf4fceabaca762161c1a80","k__Fungi","p__","c__","o__","f__","g__","s__"
"d7032493a838febb29376658b6d084dd","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__"
"de5c7953da87074131a057a33a8f4ef6","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ploettnerulaceae","g__Oculimacula","s__Oculimacula_yallundae"
"f74280d8d67f2c7204e96c34ee2d1f79","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Coniosporium","s__Coniosporium_sp"
"1591c325db983ae641ec060fff6f7098","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Piniphoma","s__Piniphoma_wesendahlina"
"22933e1655dbb9579afd17344b0f92d1","k__Fungi","p__","c__","o__","f__","g__","s__"
"42c4cb104d17fad912d48843d13270f2","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Nadsoniella","s__Nadsoniella_nigra"
"d0f619cb6fc9e4ca6cb646ea714755cf","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Trichaptum","s__Trichaptum_fuscoviolaceum"
"6b4b97c5304c973fb3575942dd04583d","k__Fungi","p__","c__","o__","f__","g__","s__"
"ab4ba65a27751ed4a881fc94ac6ef227","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","g__Phialocephala","s__"
"c48218713b63ea38a5239932622691de","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__","g__","s__"
"fee60894ea618a57843c9df623f9b480","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Steccherinaceae","g__Steccherinum","s__Steccherinum_bourdotii"
"793b89684273d74432f01481511c065e","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","s__"
"a68894b36fe586ccf055a3832214d525","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia","s__"
"d139a7c7c2e72450e4ea9e8ebbc86b0b","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__","f__","g__","s__"
"b71ad31809ac102c2a287a5b391a0550","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Coniosporium","s__Coniosporium_sp"
"be5e759c783d39bd4b37d111a92b859f","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Talaromyces","s__Talaromyces_siglerae"
"b2f851a25e21d3f205b4bbfa58631807","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__Diatrype_stigma"
"4a3f9c10ab6f16ec930e6b391846dcfa","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
