"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"062a972315298d44fb707fa0524d2b5c","k__Fungi","p__Fungi_phy_Incertae_sedis","c__Fungi_cls_Incertae_sedis","o__Fungi_ord_Incertae_sedis","f__Fungi_fam_Incertae_sedis","g__Fungi_gen_Incertae_sedis","s__Fungi_sp"
"0e3fc048be297ea2c3cfad7cf71020cf","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Parascedosporium","s__Parascedosporium_putredinis"
"122eb4544f5563009177c237f7c17f21","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","s__"
"15111216ea5ebe70cc572803390dd8f7","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Yarrowia","s__Yarrowia_lipolytica"
"18f69f108fed0605d78a3d93b8893f74","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__","g__","s__"
"1c5512b4641cba520967aaf7da027bb9","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__","s__"
"1edb30a3c0109ad54abab2f362273f43","k__Fungi","p__","c__","o__","f__","g__","s__"
"2037799458b07ddc244948f8e215d9af","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__","s__"
"20a36bdaddccf81bc2a6ed33a1fd7116","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera","s__"
"2169cb36c993cc852a2609c90fe2329e","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Acaulium","s__Acaulium_acremonium"
"24b971c19cd669a84578cd93466997d2","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__","g__","s__"
"2630cbe2c0c0b5c1550fe0b318b7e4e0","k__Fungi","p__","c__","o__","f__","g__","s__"
"2a315220bf083144d735e698be19ac92","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"300de5e4d67c4539502c9f2671e2cdfd","k__Fungi","p__","c__","o__","f__","g__","s__"
"32b7384cb55114969205ee1a0d9e9b92","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Tetracoccosporium","s__Tetracoccosporium_sp"
"32e8019235d47b850b78589efc11bf44","k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__"
"3b1c7ffe7421db832e461b01dd66966d","k__Fungi","p__","c__","o__","f__","g__","s__"
